('pid constants ', array([ 0.39287579,  0.00062249,  0.0073318 ]))
('pid constants ', array([ 0.39287579,  0.00062249,  0.0073318 ]))
('pid constants ', array([ 0.39287579,  0.00062249,  0.0073318 ]))
('pid constants ', array([ 0.39287579,  0.00062249,  0.0073318 ]))
('pid constants ', array([  6.66401095e-01,   3.55863467e-04,   3.37775290e-03]))
('pid constants ', array([  6.66401095e-01,   3.55863467e-04,   3.37775290e-03]))
('pid constants ', array([  6.66401095e-01,   3.55863467e-04,   3.37775290e-03]))
('pid constants ', array([  6.66401095e-01,   3.55863467e-04,   3.37775290e-03]))
('pid constants ', array([  6.66401095e-01,   3.55863467e-04,   3.37775290e-03]))
('pid constants ', array([ 0.12450553,  0.00087878,  0.00315014]))
('pid constants ', array([ 0.12450553,  0.00087878,  0.00315014]))
('pid constants ', array([ 0.12450553,  0.00087878,  0.00315014]))
('pid constants ', array([ 0.12450553,  0.00087878,  0.00315014]))
('pid constants ', array([ 0.12450553,  0.00087878,  0.00315014]))
('pid constants ', array([  7.49026425e-01,   1.10500526e-04,   3.48099787e-03]))
('pid constants ', array([  7.49026425e-01,   1.10500526e-04,   3.48099787e-03]))
('pid constants ', array([  7.49026425e-01,   1.10500526e-04,   3.48099787e-03]))
('pid constants ', array([  7.49026425e-01,   1.10500526e-04,   3.48099787e-03]))
('pid constants ', array([  7.49026425e-01,   1.10500526e-04,   3.48099787e-03]))
('pid constants ', array([  1.70835017e-01,   5.20456091e-05,   3.54532181e-03]))
('pid constants ', array([  1.70835017e-01,   5.20456091e-05,   3.54532181e-03]))
('pid constants ', array([  7.57663914e-01,   3.24064746e-04,   3.37780045e-03]))
('pid constants ', array([  7.57663914e-01,   3.24064746e-04,   3.37780045e-03]))
('pid constants ', array([  7.57663914e-01,   3.24064746e-04,   3.37780045e-03]))
('pid constants ', array([  7.57663914e-01,   3.24064746e-04,   3.37780045e-03]))
('pid constants ', array([  7.57663914e-01,   3.24064746e-04,   3.37780045e-03]))
('pid constants ', array([  3.17922707e-01,   1.27863415e-04,   5.47222562e-03]))
('pid constants ', array([  3.17922707e-01,   1.27863415e-04,   5.47222562e-03]))
('pid constants ', array([  3.17922707e-01,   1.27863415e-04,   5.47222562e-03]))
('pid constants ', array([  3.17922707e-01,   1.27863415e-04,   5.47222562e-03]))
('pid constants ', array([  3.17922707e-01,   1.27863415e-04,   5.47222562e-03]))
('pid constants ', array([ 0.07620483,  0.00090111,  0.00213254]))
('pid constants ', array([ 0.07620483,  0.00090111,  0.00213254]))
('pid constants ', array([ 0.07620483,  0.00090111,  0.00213254]))
('pid constants ', array([ 0.07620483,  0.00090111,  0.00213254]))
('pid constants ', array([ 0.07620483,  0.00090111,  0.00213254]))
('pid constants ', array([ 0.5758211 ,  0.00092114,  0.00202438]))
('pid constants ', array([ 0.5758211 ,  0.00092114,  0.00202438]))
('pid constants ', array([ 0.20787787,  0.00036411,  0.00100074]))
('pid constants ', array([ 0.20787787,  0.00036411,  0.00100074]))
('pid constants ', array([ 0.20787787,  0.00036411,  0.00100074]))
('pid constants ', array([ 0.20787787,  0.00036411,  0.00100074]))
('pid constants ', array([ 0.20787787,  0.00036411,  0.00100074]))
('pid constants ', array([  6.29230487e-01,   1.26880964e-04,   8.71684608e-04]))
('pid constants ', array([  6.29230487e-01,   1.26880964e-04,   8.71684608e-04]))
('pid constants ', array([  6.29230487e-01,   1.26880964e-04,   8.71684608e-04]))
('pid constants ', array([  6.29230487e-01,   1.26880964e-04,   8.71684608e-04]))
('pid constants ', array([  6.29230487e-01,   1.26880964e-04,   8.71684608e-04]))
('pid constants ', array([  2.26977486e-01,   2.45452387e-05,   6.37523595e-03]))
('pid constants ', array([  2.26977486e-01,   2.45452387e-05,   6.37523595e-03]))
('pid constants ', array([  2.26977486e-01,   2.45452387e-05,   6.37523595e-03]))
('pid constants ', array([  2.26977486e-01,   2.45452387e-05,   6.37523595e-03]))
('pid constants ', array([  2.26977486e-01,   2.45452387e-05,   6.37523595e-03]))
('pid constants ', array([ 0.4801178 ,  0.00058566,  0.00265201]))
('pid constants ', array([ 0.4801178 ,  0.00058566,  0.00265201]))
